05/02/2016,IR_SWAP/RATE/CHF/2D/1D/30Y,0.001084
05/02/2016,MM/RATE/CHF/2D/1M,-0.009297
05/02/2016,MM/RATE/CHF/2D/1W,-0.007215
05/02/2016,MM/RATE/CHF/0D/2D,-0.007494
05/02/2016,MM/RATE/CHF/2D/2M,-0.009059
05/02/2016,MM/RATE/CHF/2D/2W,-0.007464
05/02/2016,MM/RATE/CHF/2D/3D,-0.007403
05/02/2016,MM/RATE/CHF/2D/3M,-0.008701
05/02/2016,MM/RATE/CHF/2D/3W,-0.007724
05/02/2016,MM/RATE/CHF/2D/6M,-0.008282
05/02/2016,FRA/RATE/CHF/1M/6M,-0.008073
05/02/2016,FRA/RATE/CHF/2M/6M,-0.008408
05/02/2016,FRA/RATE/CHF/3M/6M,-0.008632
05/02/2016,FRA/RATE/CHF/4M/6M,-0.008609
05/02/2016,FRA/RATE/CHF/5M/6M,-0.008829
05/02/2016,FRA/RATE/CHF/6M/6M,-0.008861
05/02/2016,IR_SWAP/RATE/CHF/2D/3M/2Y,-0.009542
05/02/2016,IR_SWAP/RATE/CHF/2D/3M/3Y,-0.009132
05/02/2016,IR_SWAP/RATE/CHF/2D/3M/4Y,-0.008197
05/02/2016,IR_SWAP/RATE/CHF/2D/3M/5Y,-0.007387
05/02/2016,IR_SWAP/RATE/CHF/2D/3M/6Y,-0.006192
05/02/2016,IR_SWAP/RATE/CHF/2D/3M/7Y,-0.005098
05/02/2016,IR_SWAP/RATE/CHF/2D/3M/8Y,-0.003934
05/02/2016,IR_SWAP/RATE/CHF/2D/3M/9Y,-0.003313
05/02/2016,IR_SWAP/RATE/CHF/2D/3M/10Y,-0.002643
05/02/2016,IR_SWAP/RATE/CHF/2D/3M/12Y,-0.002612
05/02/2016,IR_SWAP/RATE/CHF/2D/3M/15Y,0.00016
05/02/2016,IR_SWAP/RATE/CHF/2D/3M/20Y,0.001681
05/02/2016,IR_SWAP/RATE/CHF/2D/3M/25Y,0.002485
05/02/2016,IR_SWAP/RATE/CHF/2D/3M/30Y,0.002664
05/02/2016,IR_SWAP/RATE/CHF/2D/6M/2Y,-0.008431
05/02/2016,IR_SWAP/RATE/CHF/2D/6M/3Y,-0.008021
05/02/2016,IR_SWAP/RATE/CHF/2D/6M/4Y,-0.007086
05/02/2016,IR_SWAP/RATE/CHF/2D/6M/5Y,-0.006276
05/02/2016,IR_SWAP/RATE/CHF/2D/6M/6Y,-0.005081
05/02/2016,IR_SWAP/RATE/CHF/2D/6M/7Y,-0.003978
05/02/2016,IR_SWAP/RATE/CHF/2D/6M/8Y,-0.002823
05/02/2016,IR_SWAP/RATE/CHF/2D/6M/9Y,-0.002201
05/02/2016,IR_SWAP/RATE/CHF/2D/6M/10Y,-0.001532
05/02/2016,IR_SWAP/RATE/CHF/2D/6M/12Y,5.4e-05
05/02/2016,IR_SWAP/RATE/CHF/2D/6M/15Y,0.001271
05/02/2016,IR_SWAP/RATE/CHF/2D/6M/20Y,0.002792
05/02/2016,IR_SWAP/RATE/CHF/2D/6M/25Y,0.003596
05/02/2016,IR_SWAP/RATE/CHF/2D/6M/30Y,0.003775
05/02/2016,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/1Y,-0.004967
05/02/2016,CC_BASIS_SWAP/BASIS_SPREAD/USD/3M/EUR/3M/2Y,-0.005654
